ticker,price_2025
AALR3,"5,05"
ABCB4,"23,70"
ABEV3,"3877,50"
AERI3,"3,31"
AESB3,#N/A
AFLT3,"7,50"
AGRO3,"19,94"
AGXY3,"4,43"
AHEB3,#N/A
AHEB5,#N/A
AHEB6,#N/A
ALLD3,"8,16"
ALPA3,"10,38"
ALPA4,"11,94"
ALPK3,"4,81"
ALSO3,#N/A
ALUP11,"31,75"
ALUP3,"11,85"
ALUP4,"10,11"
AMAR3,"1,01"
AMBP3,"0,27"
AMER3,"5,13"
ANIM3,"3,31"
APER3,#N/A
APTI3,#N/A
APTI4,#N/A
ARML3,"4,48"
ARZZ3,#N/A
ASAI3,"7,28"
ATMP3,#N/A
ATOM3,#N/A
AVLL3,"0,92"
AZEV3,"0,25"
AZEV4,"0,21"
AZUL4,#N/A
B3SA3,"13,89"
BAHI3,#N/A
BALM3,"30,31"
BALM4,"18,18"
BAUH3,#N/A
BAUH4,"93,45"
BAZA3,"77,79"
BBAS11,#N/A
BBAS12,#N/A
BBAS3,"3087,50"
BBDC3,"4400,00"
BBDC4,"18,19"
BBML3,#N/A
BBRK3,#N/A
BBSE3,"36,15"
BDLL3,"7,93"
BDLL4,"6,79"
BEEF3,"5,76"
BEES3,"8,12"
BEES4,"8,15"
BETP3B,#N/A
BGIP3,#N/A
BGIP4,"34,38"
BIDI11,#N/A
BIDI3,#N/A
BIDI4,#N/A
BIOM3,"7,22"
BKBR3,#N/A
BLAU3,"10,81"
BLUT3,#N/A
BLUT4,#N/A
BMEB3,"62,88"
BMEB4,"72,38"
BMGB4,"4,90"
BMIN3,"23,49"
BMIN4,"18,41"
BMKS3,"389,00"
BMOB3,"22,71"
BNBR3,"110,02"
BOAS3,#N/A
BOBR3,#N/A
BOBR4,"1,23"
BPAC11,"52,58"
BPAC3,"37,01"
BPAC5,"11,13"
BPAN4,#N/A
BPAR3,#N/A
BRAP3,"17,85"
BRAP4,"19,90"
BRBI11,"20,00"
BRFS3,#N/A
BRGE11,#N/A
BRGE12,#N/A
BRGE3,#N/A
BRGE5,#N/A
BRGE6,#N/A
BRGE7,#N/A
BRGE8,#N/A
BRIT3,#N/A
BRIV3,#N/A
BRIV4,#N/A
BRKM3,"8,09"
BRKM5,"7,89"
BRKM6,"7,80"
BRML3,#N/A
BRPR3,#N/A
BRQB3,#N/A
BRSR3,"16,80"
BRSR5,"16,01"
BRSR6,"15,24"
BSLI3,"7,82"
BSLI4,"9,05"
CABI3B,#N/A
CACO3B,#N/A
CALI3,"16,05"
CALI4,#N/A
CAMB3,"9,97"
CAML3,"5,50"
CARD3,#N/A
CASH3,"3,90"
CASN3,#N/A
CASN4,#N/A
CATA3,#N/A
CATA4,#N/A
CBAV3,"7,18"
CBEE3,"11,92"
CCRO3,#N/A
CEAB3,"12,76"
CEBR3,"26,79"
CEBR5,"25,89"
CEBR6,"29,13"
CEDO3,"12,00"
CEDO4,"10,29"
CEEB3,"45,45"
CEEB5,"45,00"
CEEB6,#N/A
CEED3,"10,20"
CEED4,#N/A
CEGR3,#N/A
CEPE3,#N/A
CEPE5,#N/A
CEPE6,#N/A
CESP3,#N/A
CESP5,#N/A
CESP6,#N/A
CGAS3,"123,69"
CGAS5,"130,03"
CGRA3,"28,23"
CGRA4,"26,39"
CIEL3,#N/A
CLSA3,#N/A
CLSC3,"112,91"
CLSC4,"125,50"
CMIG3,"14,70"
CMIG4,"11,20"
CMIN3,"5,45"
CMSA3,#N/A
CMSA4,#N/A
CNSY3,#N/A
COCE3,"33,00"
COCE5,"33,99"
COCE6,#N/A
COGN3,"3,16"
CORR3,#N/A
CORR4,#N/A
CPFE3,"53,29"
CPLE11,#N/A
CPLE3,"13,08"
CPLE5,#N/A
CPLE6,#N/A
CRDE3,#N/A
CRFB3,#N/A
CRIV3,#N/A
CRIV4,#N/A
CRPG3,#N/A
CRPG5,"17,99"
CRPG6,"18,99"
CRTE3B,#N/A
CSAB3,#N/A
CSAB4,#N/A
CSAN3,"5,32"
CSED3,"6,22"
CSMG3,"43,92"
CSNA3,"2502,50"
CSRN3,#N/A
CSRN5,#N/A
CSRN6,#N/A
CTCA3,#N/A
CTKA3,#N/A
CTKA4,"38,53"
CTNM3,#N/A
CTNM4,#N/A
CTSA3,"2,32"
CTSA4,"2,07"
CURY3,"32,23"
CVCB3,"2,16"
CXSE3,"16,62"
CYRE3,"24,90"
DASA3,"4,54"
DESK3,"17,09"
DEXP3,"7,99"
DEXP4,"8,00"
DIRR3,"14,12"
DMMO3,#N/A
DMVF3,"6,90"
DOHL3,#N/A
DOHL4,"3,71"
DOTZ3,"3,50"
DTCY3,#N/A
DTCY4,#N/A
DXCO3,"5,00"
EALT3,"14,50"
EALT4,"13,47"
ECOR3,"10,60"
ECPR3,#N/A
ECPR4,#N/A
EEEL3,#N/A
EEEL4,#N/A
EGIE3,"31,37"
EKTR3,"49,00"
EKTR4,"38,41"
ELET3,#N/A
ELET5,#N/A
ELET6,#N/A
ELMD3,#N/A
EMAE3,#N/A
EMAE4,"44,69"
EMBR3,#N/A
ENAT3,#N/A
ENBR3,#N/A
ENEV3,"20,18"
ENGI11,"47,16"
ENGI3,"12,35"
ENGI4,"8,68"
ENJU3,"1,07"
ENMT3,"52,00"
ENMT4,"61,84"
EPAR3,"4,03"
EQMA3B,"31,70"
EQMA5B,#N/A
EQPA3,"5,99"
EQPA5,"9,99"
EQPA6,#N/A
EQPA7,#N/A
EQTL3,"38,50"
ESPA3,"1,04"
ESTR3,#N/A
ESTR4,#N/A
ETER3,"4,10"
EUCA3,"25,00"
EUCA4,"19,00"
EVEN3,"7,78"
EZTC3,"13,73"
FESA3,"11,18"
FESA4,"6,93"
FHER3,"4,24"
FIGE3,#N/A
FIGE4,#N/A
FIQE3,"4,96"
FLEX3,#N/A
FLRY3,"15,00"
FNCN3,#N/A
FRAS3,"24,15"
FRIO3,"209,98"
FRRN3B,#N/A
FRRN5B,#N/A
FRTA3,#N/A
G2DI33,"1,71"
GEPA3,"30,00"
GEPA4,"32,00"
GETT11,#N/A
GETT3,#N/A
GETT4,#N/A
GFSA3,"5,35"
GGBR3,"17,47"
GGBR4,"20,39"
GGPS3,"16,16"
