ticker,price_2024
GRND3,"4,88"
GSHP3,"6,51"
GUAR3,"6,19"
HAGA3,"1,91"
HAGA4,"1,15"
HAPV3,"445,00"
HBOR3,"1,38"
HBRE3,"2,98"
HBSA3,"2,75"
HBTS3,#N/A
HBTS5,"27,09"
HBTS6,#N/A
HETA3,#N/A
HETA4,"5,24"
HOOT3,#N/A
HOOT4,"2,34"
HYPE3,"18,09"
IFCM3,"0,06"
IGBR3,#N/A
IGSN3,#N/A
IGTI11,"17,27"
IGTI3,"2,09"
INEP3,"1,42"
INEP4,"1,31"
INNT3,#N/A
INTB3,"12,78"
IRBR3,"42,45"
ITSA3,"8,95"
ITSA4,"8,79"
ITUB3,#N/A
ITUB4,"30,73"
IVPR3B,#N/A
IVPR4B,#N/A
JALL3,"4,64"
JBSS3,#N/A
JFEN3,"2,28"
JHSF3,"3,66"
JOPA3,"21,00"
JOPA4,#N/A
JSLG3,"5,41"
KEPL3,"9,31"
KLBN11,"23,20"
KLBN3,"4,97"
KLBN4,"4,59"
KRSA3,"8,20"
LAME3,#N/A
LAME4,#N/A
LAND3,"14,06"
LAVV3,"7,49"
LCAM3,#N/A
LEVE3,"27,46"
LIGT3,"4,06"
LIPR3,"41,14"
LJQQ3,"2,16"
LLBI3,#N/A
LLIS3,#N/A
LMED3,#N/A
LOGG3,"18,01"
LOGN3,"20,72"
LPSB3,"1,50"
LREN3,#N/A
LTEL3B,#N/A
LTLA3B,#N/A
LUPA3,"1,18"
LUXM3,#N/A
LUXM4,"12,50"
LVTC3,"2,24"
LWSA3,"3,32"
MAPT3,"4,28"
MAPT4,"5,42"
MATD3,"3,64"
MBLY3,"1,57"
MDIA3,"20,05"
MDNE3,"10,80"
MEAL3,"0,97"
MEGA3,#N/A
MELK3,"3,55"
MERC3,#N/A
MERC4,"8,25"
MGEL3,#N/A
MGEL4,"7,99"
MGLU3,"1230,00"
MILS3,"8,57"
MLAS3,"1,06"
MMAQ3,#N/A
MMAQ4,#N/A
MMXM11,#N/A
MMXM3,#N/A
MNDL3,"16,97"
MNPR3,"21,39"
MNZC3B,#N/A
MOAR3,"371,54"
MODL11,#N/A
MODL3,#N/A
MODL4,#N/A
MOSI3,#N/A
MOVI3,"3,54"
MRFG3,"17,03"
MRSA3B,"32,00"
MRSA5B,#N/A
MRSA6B,#N/A
MRVE3,"5,31"
MSPA3,#N/A
MSPA4,"34,15"
MSRO3,#N/A
MTIG3,#N/A
MTIG4,#N/A
MTRE3,"2,90"
MTSA3,#N/A
MTSA4,"39,36"
MULT3,"21,08"
MWET3,#N/A
MWET4,#N/A
MYPK3,"11,28"
NEMO3,#N/A
NEMO5,#N/A
NEMO6,#N/A
NEOE3,"18,91"
NGRD3,"23,15"
NINJ3,#N/A
NORD3,"6,15"
NRTQ3,#N/A
NTCO3,#N/A
NUTR3,"3,92"
ODER3,#N/A
ODER4,#N/A
ODPV3,"10,86"
OFSA3,"19,35"
OIBR3,"1,34"
OIBR4,"9,01"
ONCO3,"2,34"
OPCT3,"5,29"
OPHE3B,#N/A
OPSE3B,#N/A
OPTS3B,#N/A
ORVR3,"37,85"
OSXB3,"3,61"
PARD3,#N/A
PATI3,"25,55"
PATI4,"35,00"
PCAR3,"2,55"
PDGR3,"0,01"
PDTC3,"1,26"
PEAB3,#N/A
PEAB4,"52,00"
PETR3,#N/A
PETR4,"36,19"
PETZ3,"4,07"
PFRM3,"6,49"
PGMN3,"3,14"
PINE3,"4,60"
PINE4,"4,46"
PLAS3,#N/A
PLPL3,"9,17"
PMAM3,"0,88"
PNVL3,"8,80"
POMO3,"5,63"
POMO4,"7,38"
PORT3,"16,31"
POSI3,"5,18"
POWE3,#N/A
PPAR3,#N/A
PPLA11,"1,50"
PRIO3,"3990,00"
PRMN3B,#N/A
PRNR3,"13,41"
PSSA3,"36,55"
PSVM11,#N/A
PTBL3,"3,66"
PTCA11,#N/A
PTCA3,#N/A
PTNT3,"8,50"
PTNT4,"6,00"
QUAL3,"1,52"
QUSW3,#N/A
QVQP3B,#N/A
RADL3,"22,00"
RAIL3,"17,84"
RAIZ4,"2,16"
RANI3,"6,82"
RAPT3,"8,22"
RAPT4,"9,90"
RCSL3,"6,40"
RCSL4,"1,06"
RDNI3,"2,05"
RDOR3,"25,42"
RECV3,"16,21"
REDE3,"6,30"
RENT3,"3125,00"
RNEW11,"2,95"
RNEW3,"0,94"
RNEW4,"0,93"
ROMI3,"8,44"
RPAD3,#N/A
RPAD5,"8,89"
RPAD6,#N/A
RPMG3,"2,69"
